,train,val,test
slide_13,True,False,False
slide_109,True,False,False
slide_110,True,False,False
slide_113,True,False,False
slide_114,True,False,False
slide_116,True,False,False
slide_118,True,False,False
slide_14,True,False,False
slide_119,True,False,False
slide_120,True,False,False
slide_121,True,False,False
slide_122,True,False,False
slide_123,True,False,False
slide_124,True,False,False
slide_127,True,False,False
slide_128,True,False,False
slide_130,True,False,False
slide_132,True,False,False
slide_134,True,False,False
slide_135,True,False,False
slide_136,True,False,False
slide_137,True,False,False
slide_16,True,False,False
slide_139,True,False,False
slide_141,True,False,False
slide_142,True,False,False
slide_143,True,False,False
slide_144,True,False,False
slide_145,True,False,False
slide_146,True,False,False
slide_17,True,False,False
slide_150,True,False,False
slide_151,True,False,False
slide_154,True,False,False
slide_155,True,False,False
slide_156,True,False,False
slide_157,True,False,False
slide_160,True,False,False
slide_162,True,False,False
slide_165,True,False,False
slide_166,True,False,False
slide_171,True,False,False
slide_20,True,False,False
slide_173,True,False,False
slide_174,True,False,False
slide_175,True,False,False
slide_176,True,False,False
slide_177,True,False,False
slide_179,True,False,False
slide_180,True,False,False
slide_21,True,False,False
slide_183,True,False,False
slide_184,True,False,False
slide_185,True,False,False
slide_186,True,False,False
slide_194,True,False,False
slide_197,True,False,False
slide_199,True,False,False
slide_202,True,False,False
slide_205,True,False,False
slide_207,True,False,False
slide_208,True,False,False
slide_209,True,False,False
slide_210,True,False,False
slide_211,True,False,False
slide_212,True,False,False
slide_213,True,False,False
slide_214,True,False,False
slide_217,True,False,False
slide_3,True,False,False
slide_4,True,False,False
slide_221,True,False,False
slide_222,True,False,False
slide_224,True,False,False
slide_225,True,False,False
slide_226,True,False,False
slide_227,True,False,False
slide_228,True,False,False
slide_229,True,False,False
slide_25,True,False,False
slide_230,True,False,False
slide_231,True,False,False
slide_236,True,False,False
slide_237,True,False,False
slide_26,True,False,False
slide_242,True,False,False
slide_243,True,False,False
slide_244,True,False,False
slide_247,True,False,False
slide_248,True,False,False
slide_250,True,False,False
slide_251,True,False,False
slide_252,True,False,False
slide_27,True,False,False
slide_256,True,False,False
slide_257,True,False,False
slide_259,True,False,False
slide_261,True,False,False
slide_28,True,False,False
slide_29,True,False,False
slide_268,True,False,False
slide_270,True,False,False
slide_271,True,False,False
slide_272,True,False,False
slide_274,True,False,False
slide_275,True,False,False
slide_276,True,False,False
slide_277,True,False,False
slide_280,True,False,False
slide_284,True,False,False
slide_285,True,False,False
slide_286,True,False,False
slide_288,True,False,False
slide_292,True,False,False
slide_293,True,False,False
slide_294,True,False,False
slide_296,True,False,False
slide_297,True,False,False
slide_298,True,False,False
slide_300,True,False,False
slide_301,True,False,False
slide_307,True,False,False
slide_308,True,False,False
slide_312,True,False,False
slide_313,True,False,False
slide_314,True,False,False
slide_316,True,False,False
slide_317,True,False,False
slide_319,True,False,False
slide_320,True,False,False
slide_323,True,False,False
slide_115,True,False,False
slide_125,True,False,False
slide_126,True,False,False
slide_15,True,False,False
slide_129,True,False,False
slide_138,True,False,False
slide_140,True,False,False
slide_147,True,False,False
slide_148,True,False,False
slide_149,True,False,False
slide_158,True,False,False
slide_159,True,False,False
slide_18,True,False,False
slide_19,True,False,False
slide_163,True,False,False
slide_178,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_187,True,False,False
slide_188,True,False,False
slide_189,True,False,False
slide_190,True,False,False
slide_193,True,False,False
slide_195,True,False,False
slide_196,True,False,False
slide_198,True,False,False
slide_201,True,False,False
slide_203,True,False,False
slide_23,True,False,False
slide_206,True,False,False
slide_215,True,False,False
slide_216,True,False,False
slide_24,True,False,False
slide_219,True,False,False
slide_220,True,False,False
slide_245,True,False,False
slide_246,True,False,False
slide_249,True,False,False
slide_258,True,False,False
slide_262,True,False,False
slide_263,True,False,False
slide_264,True,False,False
slide_265,True,False,False
slide_266,True,False,False
slide_269,True,False,False
slide_282,True,False,False
slide_283,True,False,False
slide_31,True,False,False
slide_290,True,False,False
slide_291,True,False,False
slide_32,True,False,False
slide_299,True,False,False
slide_302,True,False,False
slide_303,True,False,False
slide_304,True,False,False
slide_306,True,False,False
slide_33,True,False,False
slide_309,True,False,False
slide_310,True,False,False
slide_311,True,False,False
slide_34,True,False,False
slide_321,True,False,False
slide_322,True,False,False
slide_325,True,False,False
slide_326,True,False,False
slide_338,True,False,False
slide_339,True,False,False
slide_342,True,False,False
slide_343,True,False,False
slide_345,True,False,False
slide_267,False,True,False
slide_223,False,True,False
slide_478,False,True,False
slide_366,False,True,False
slide_153,False,True,False
slide_405,False,True,False
slide_496,False,True,False
slide_419,False,True,False
slide_318,False,True,False
slide_74,False,True,False
slide_44,False,True,False
slide_45,False,True,False
slide_337,False,True,False
slide_424,False,True,False
slide_421,False,True,False
slide_235,False,True,False
slide_463,False,True,False
slide_117,False,True,False
slide_287,False,True,False
slide_172,False,True,False
slide_77,False,True,False
slide_112,False,True,False
slide_497,False,True,False
slide_133,False,True,False
slide_289,False,True,False
slide_416,False,True,False
slide_60,False,True,False
slide_234,False,True,False
slide_161,False,True,False
slide_480,False,True,False
slide_472,False,True,False
slide_473,False,True,False
slide_344,False,True,False
slide_255,False,True,False
slide_273,False,True,False
slide_38,False,True,False
slide_36,False,True,False
slide_239,False,True,False
slide_389,False,True,False
slide_30,False,True,False
slide_370,False,True,False
slide_346,False,True,False
slide_55,False,True,False
slide_241,False,True,False
slide_191,False,True,False
slide_192,False,True,False
slide_169,False,True,False
slide_170,False,True,False
slide_22,False,True,False
slide_305,False,False,True
slide_233,False,False,True
slide_70,False,False,True
slide_395,False,False,True
slide_232,False,False,True
slide_349,False,False,True
slide_350,False,False,True
slide_11,False,False,True
slide_427,False,False,True
slide_400,False,False,True
slide_99,False,False,True
slide_204,False,False,True
slide_253,False,False,True
slide_254,False,False,True
slide_260,False,False,True
slide_404,False,False,True
slide_315,False,False,True
slide_12,False,False,True
slide_468,False,False,True
