,train,val,test
0,slide_13,slide_256,slide_367
1,slide_109,slide_439,slide_430
2,slide_110,slide_252,slide_71
3,slide_112,slide_168,slide_237
4,slide_113,slide_50,slide_49
5,slide_117,slide_446,slide_231
6,slide_118,slide_406,slide_476
7,slide_119,slide_423,slide_414
8,slide_120,slide_116,slide_415
9,slide_121,slide_98,slide_12
10,slide_122,slide_314,slide_328
11,slide_123,slide_70,slide_8
12,slide_124,slide_3,slide_218
13,slide_127,slide_4,slide_92
14,slide_128,slide_456,slide_365
15,slide_130,slide_233,slide_184
16,slide_133,slide_214,slide_108
17,slide_134,slide_225,slide_180
18,slide_135,slide_427,slide_210
19,slide_137,slide_154,slide_211
20,slide_16,slide_14,slide_390
21,slide_139,slide_297,slide_183
22,slide_143,slide_132,slide_87
23,slide_144,slide_114,slide_384
24,slide_145,slide_136,slide_405
25,slide_146,slide_396,slide_277
26,slide_17,slide_272,slide_141
27,slide_150,slide_267,slide_366
28,slide_151,slide_20,slide_142
29,slide_152,slide_368,slide_359
30,slide_153,slide_58,slide_244
31,slide_155,slide_32,slide_385
32,slide_156,slide_265,slide_306
33,slide_157,slide_38,slide_434
34,slide_160,slide_470,slide_435
35,slide_161,slide_471,slide_85
36,slide_162,slide_131,slide_238
37,slide_165,slide_111,slide_178
38,slide_166,slide_299,slide_264
39,slide_167,slide_86,slide_206
40,slide_171,slide_438,slide_428
41,slide_172,slide_80,slide_104
42,slide_173,slide_457,slide_76
43,slide_174,slide_458,slide_291
44,slide_175,slide_138,slide_391
45,slide_176,slide_295,slide_392
46,slide_177,slide_302,slide_460
47,slide_179,,slide_432
48,slide_21,,slide_433
49,slide_185,,slide_412
50,slide_186,,
51,slide_194,,
52,slide_197,,
53,slide_199,,
54,slide_200,,
55,slide_202,,
56,slide_204,,
57,slide_205,,
58,slide_207,,
59,slide_208,,
60,slide_209,,
61,slide_212,,
62,slide_213,,
63,slide_217,,
64,slide_221,,
65,slide_222,,
66,slide_223,,
67,slide_224,,
68,slide_226,,
69,slide_227,,
70,slide_228,,
71,slide_229,,
72,slide_25,,
73,slide_230,,
74,slide_232,,
75,slide_234,,
76,slide_235,,
77,slide_236,,
78,slide_26,,
79,slide_240,,
80,slide_242,,
81,slide_243,,
82,slide_247,,
83,slide_248,,
84,slide_250,,
85,slide_251,,
86,slide_27,,
87,slide_253,,
88,slide_254,,
89,slide_257,,
90,slide_259,,
91,slide_260,,
92,slide_261,,
93,slide_28,,
94,slide_29,,
95,slide_268,,
96,slide_270,,
97,slide_271,,
98,slide_274,,
99,slide_275,,
100,slide_276,,
101,slide_280,,
102,slide_284,,
103,slide_285,,
104,slide_286,,
105,slide_287,,
106,slide_288,,
107,slide_289,,
108,slide_292,,
109,slide_293,,
110,slide_294,,
111,slide_296,,
112,slide_298,,
113,slide_300,,
114,slide_301,,
115,slide_305,,
116,slide_307,,
117,slide_308,,
118,slide_312,,
119,slide_313,,
120,slide_315,,
121,slide_316,,
122,slide_317,,
123,slide_318,,
124,slide_319,,
125,slide_320,,
126,slide_323,,
127,slide_324,,
128,slide_327,,
129,slide_5,,
130,slide_0,,
131,slide_1,,
132,slide_2,,
133,slide_115,,
134,slide_125,,
135,slide_126,,
136,slide_15,,
137,slide_129,,
138,slide_140,,
139,slide_147,,
140,slide_148,,
141,slide_149,,
142,slide_158,,
143,slide_159,,
144,slide_18,,
145,slide_19,,
146,slide_163,,
147,slide_164,,
148,slide_169,,
149,slide_170,,
150,slide_181,,
151,slide_182,,
152,slide_187,,
153,slide_188,,
154,slide_189,,
155,slide_190,,
156,slide_191,,
157,slide_192,,
158,slide_193,,
159,slide_22,,
160,slide_195,,
161,slide_196,,
162,slide_198,,
163,slide_201,,
164,slide_203,,
165,slide_23,,
166,slide_215,,
167,slide_216,,
168,slide_24,,
169,slide_219,,
170,slide_220,,
171,slide_239,,
172,slide_241,,
173,slide_245,,
174,slide_246,,
175,slide_249,,
176,slide_255,,
177,slide_258,,
178,slide_262,,
179,slide_263,,
180,slide_266,,
181,slide_269,,
182,slide_273,,
183,slide_30,,
184,slide_278,,
185,slide_279,,
186,slide_281,,
187,slide_282,,
188,slide_283,,
189,slide_31,,
190,slide_290,,
191,slide_303,,
192,slide_304,,
193,slide_33,,
194,slide_309,,
195,slide_310,,
196,slide_311,,
197,slide_34,,
198,slide_321,,
199,slide_322,,
200,slide_325,,
201,slide_326,,
202,slide_338,,
203,slide_339,,
