,train,val,test
slide_13,True,False,False
slide_109,True,False,False
slide_110,True,False,False
slide_112,True,False,False
slide_113,True,False,False
slide_114,True,False,False
slide_116,True,False,False
slide_117,True,False,False
slide_118,True,False,False
slide_14,True,False,False
slide_120,True,False,False
slide_121,True,False,False
slide_123,True,False,False
slide_124,True,False,False
slide_127,True,False,False
slide_128,True,False,False
slide_130,True,False,False
slide_135,True,False,False
slide_136,True,False,False
slide_137,True,False,False
slide_16,True,False,False
slide_139,True,False,False
slide_141,True,False,False
slide_144,True,False,False
slide_145,True,False,False
slide_146,True,False,False
slide_17,True,False,False
slide_150,True,False,False
slide_152,True,False,False
slide_154,True,False,False
slide_155,True,False,False
slide_156,True,False,False
slide_157,True,False,False
slide_160,True,False,False
slide_161,True,False,False
slide_165,True,False,False
slide_166,True,False,False
slide_168,True,False,False
slide_172,True,False,False
slide_20,True,False,False
slide_174,True,False,False
slide_175,True,False,False
slide_176,True,False,False
slide_179,True,False,False
slide_180,True,False,False
slide_21,True,False,False
slide_183,True,False,False
slide_184,True,False,False
slide_185,True,False,False
slide_186,True,False,False
slide_194,True,False,False
slide_197,True,False,False
slide_199,True,False,False
slide_202,True,False,False
slide_204,True,False,False
slide_205,True,False,False
slide_207,True,False,False
slide_208,True,False,False
slide_209,True,False,False
slide_212,True,False,False
slide_213,True,False,False
slide_214,True,False,False
slide_217,True,False,False
slide_3,True,False,False
slide_4,True,False,False
slide_218,True,False,False
slide_221,True,False,False
slide_222,True,False,False
slide_223,True,False,False
slide_224,True,False,False
slide_225,True,False,False
slide_226,True,False,False
slide_227,True,False,False
slide_228,True,False,False
slide_229,True,False,False
slide_25,True,False,False
slide_230,True,False,False
slide_231,True,False,False
slide_232,True,False,False
slide_233,True,False,False
slide_234,True,False,False
slide_236,True,False,False
slide_26,True,False,False
slide_240,True,False,False
slide_242,True,False,False
slide_243,True,False,False
slide_244,True,False,False
slide_247,True,False,False
slide_248,True,False,False
slide_250,True,False,False
slide_251,True,False,False
slide_27,True,False,False
slide_253,True,False,False
slide_254,True,False,False
slide_256,True,False,False
slide_259,True,False,False
slide_28,True,False,False
slide_29,True,False,False
slide_267,True,False,False
slide_268,True,False,False
slide_270,True,False,False
slide_271,True,False,False
slide_272,True,False,False
slide_276,True,False,False
slide_277,True,False,False
slide_285,True,False,False
slide_286,True,False,False
slide_287,True,False,False
slide_288,True,False,False
slide_289,True,False,False
slide_293,True,False,False
slide_294,True,False,False
slide_296,True,False,False
slide_297,True,False,False
slide_300,True,False,False
slide_301,True,False,False
slide_305,True,False,False
slide_312,True,False,False
slide_313,True,False,False
slide_315,True,False,False
slide_316,True,False,False
slide_317,True,False,False
slide_318,True,False,False
slide_319,True,False,False
slide_320,True,False,False
slide_324,True,False,False
slide_327,True,False,False
slide_328,True,False,False
slide_5,True,False,False
slide_35,True,False,False
slide_0,True,False,False
slide_1,True,False,False
slide_2,True,False,False
slide_111,True,False,False
slide_115,True,False,False
slide_125,True,False,False
slide_126,True,False,False
slide_129,True,False,False
slide_131,True,False,False
slide_140,True,False,False
slide_147,True,False,False
slide_148,True,False,False
slide_149,True,False,False
slide_158,True,False,False
slide_159,True,False,False
slide_18,True,False,False
slide_19,True,False,False
slide_163,True,False,False
slide_164,True,False,False
slide_178,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_188,True,False,False
slide_189,True,False,False
slide_191,True,False,False
slide_192,True,False,False
slide_193,True,False,False
slide_22,True,False,False
slide_195,True,False,False
slide_196,True,False,False
slide_198,True,False,False
slide_201,True,False,False
slide_203,True,False,False
slide_23,True,False,False
slide_206,True,False,False
slide_215,True,False,False
slide_216,True,False,False
slide_24,True,False,False
slide_219,True,False,False
slide_220,True,False,False
slide_238,True,False,False
slide_239,True,False,False
slide_241,True,False,False
slide_262,True,False,False
slide_264,True,False,False
slide_265,True,False,False
slide_266,True,False,False
slide_30,True,False,False
slide_278,True,False,False
slide_279,True,False,False
slide_281,True,False,False
slide_282,True,False,False
slide_283,True,False,False
slide_31,True,False,False
slide_290,True,False,False
slide_295,True,False,False
slide_32,True,False,False
slide_299,True,False,False
slide_303,True,False,False
slide_304,True,False,False
slide_306,True,False,False
slide_33,True,False,False
slide_309,True,False,False
slide_310,True,False,False
slide_311,True,False,False
slide_34,True,False,False
slide_321,True,False,False
slide_322,True,False,False
slide_325,True,False,False
slide_326,True,False,False
slide_338,True,False,False
slide_339,True,False,False
slide_398,False,True,False
slide_257,False,True,False
slide_298,False,True,False
slide_396,False,True,False
slide_177,False,True,False
slide_210,False,True,False
slide_211,False,True,False
slide_8,False,True,False
slide_134,False,True,False
slide_347,False,True,False
slide_171,False,True,False
slide_133,False,True,False
slide_173,False,True,False
slide_369,False,True,False
slide_420,False,True,False
slide_200,False,True,False
slide_237,False,True,False
slide_308,False,True,False
slide_463,False,True,False
slide_472,False,True,False
slide_473,False,True,False
slide_54,False,True,False
slide_142,False,True,False
slide_333,False,True,False
slide_483,False,True,False
slide_314,False,True,False
slide_280,False,True,False
slide_330,False,True,False
slide_331,False,True,False
slide_390,False,True,False
slide_443,False,True,False
slide_235,False,True,False
slide_478,False,True,False
slide_346,False,True,False
slide_375,False,True,False
slide_169,False,True,False
slide_170,False,True,False
slide_399,False,True,False
slide_83,False,True,False
slide_187,False,True,False
slide_269,False,True,False
slide_351,False,True,False
slide_451,False,True,False
slide_255,False,True,False
slide_263,False,True,False
slide_138,False,True,False
slide_460,False,True,False
slide_249,False,True,False
slide_15,False,True,False
slide_84,False,False,True
slide_274,False,False,True
slide_275,False,False,True
slide_95,False,False,True
slide_384,False,False,True
slide_401,False,False,True
slide_462,False,False,True
slide_393,False,False,True
slide_323,False,False,True
slide_461,False,False,True
slide_82,False,False,True
slide_143,False,False,True
slide_122,False,False,True
slide_374,False,False,True
slide_260,False,False,True
slide_292,False,False,True
slide_167,False,False,True
slide_71,False,False,True
