,train,val,test
0,slide_13,slide_52,slide_301
1,slide_109,slide_439,slide_288
2,slide_110,slide_277,slide_271
3,slide_113,slide_81,slide_90
4,slide_114,slide_358,slide_135
5,slide_116,slide_128,slide_174
6,slide_117,slide_177,slide_334
7,slide_118,slide_98,slide_462
8,slide_14,slide_421,slide_226
9,slide_120,slide_58,slide_227
10,slide_121,slide_179,slide_50
11,slide_123,slide_236,slide_387
12,slide_124,slide_144,slide_270
13,slide_127,slide_404,slide_70
14,slide_130,slide_232,slide_312
15,slide_132,slide_240,slide_385
16,slide_133,slide_221,slide_112
17,slide_134,slide_259,slide_423
18,slide_137,slide_96,slide_25
19,slide_16,slide_308,slide_359
20,slide_139,slide_136,slide_119
21,slide_141,slide_383,slide_165
22,slide_142,slide_298,slide_74
23,slide_143,slide_160,slide_122
24,slide_145,slide_384,slide_452
25,slide_146,slide_400,slide_396
26,slide_17,slide_380,slide_53
27,slide_150,slide_376,slide_289
28,slide_151,slide_329,slide_373
29,slide_152,slide_319,slide_354
30,slide_153,slide_195,slide_257
31,slide_154,slide_196,slide_103
32,slide_155,slide_481,slide_447
33,slide_156,slide_482,slide_169
34,slide_157,slide_9,slide_170
35,slide_161,slide_10,slide_239
36,slide_162,slide_125,slide_454
37,slide_166,slide_188,slide_140
38,slide_167,slide_63,slide_338
39,slide_168,slide_86,slide_339
40,slide_171,slide_303,slide_55
41,slide_172,slide_193,slide_399
42,slide_20,slide_391,slide_38
43,slide_173,slide_392,slide_269
44,slide_175,slide_344,slide_238
45,slide_176,slide_457,slide_351
46,slide_180,slide_346,slide_115
47,slide_21,slide_201,slide_451
48,slide_183,slide_375,
49,slide_184,,
50,slide_185,,
51,slide_186,,
52,slide_194,,
53,slide_197,,
54,slide_199,,
55,slide_200,,
56,slide_202,,
57,slide_204,,
58,slide_205,,
59,slide_207,,
60,slide_208,,
61,slide_209,,
62,slide_210,,
63,slide_211,,
64,slide_212,,
65,slide_213,,
66,slide_214,,
67,slide_217,,
68,slide_3,,
69,slide_4,,
70,slide_218,,
71,slide_222,,
72,slide_223,,
73,slide_224,,
74,slide_225,,
75,slide_228,,
76,slide_229,,
77,slide_230,,
78,slide_231,,
79,slide_233,,
80,slide_234,,
81,slide_235,,
82,slide_237,,
83,slide_26,,
84,slide_242,,
85,slide_243,,
86,slide_244,,
87,slide_247,,
88,slide_248,,
89,slide_250,,
90,slide_251,,
91,slide_252,,
92,slide_27,,
93,slide_253,,
94,slide_254,,
95,slide_256,,
96,slide_260,,
97,slide_261,,
98,slide_28,,
99,slide_29,,
100,slide_267,,
101,slide_268,,
102,slide_272,,
103,slide_274,,
104,slide_275,,
105,slide_276,,
106,slide_280,,
107,slide_284,,
108,slide_285,,
109,slide_286,,
110,slide_287,,
111,slide_292,,
112,slide_293,,
113,slide_294,,
114,slide_296,,
115,slide_297,,
116,slide_300,,
117,slide_305,,
118,slide_307,,
119,slide_313,,
120,slide_314,,
121,slide_315,,
122,slide_316,,
123,slide_317,,
124,slide_318,,
125,slide_320,,
126,slide_323,,
127,slide_324,,
128,slide_327,,
129,slide_328,,
130,slide_5,,
131,slide_0,,
132,slide_1,,
133,slide_2,,
134,slide_111,,
135,slide_126,,
136,slide_15,,
137,slide_129,,
138,slide_131,,
139,slide_138,,
140,slide_147,,
141,slide_148,,
142,slide_149,,
143,slide_158,,
144,slide_159,,
145,slide_18,,
146,slide_19,,
147,slide_163,,
148,slide_164,,
149,slide_178,,
150,slide_181,,
151,slide_182,,
152,slide_187,,
153,slide_189,,
154,slide_190,,
155,slide_191,,
156,slide_192,,
157,slide_22,,
158,slide_198,,
159,slide_203,,
160,slide_23,,
161,slide_206,,
162,slide_215,,
163,slide_216,,
164,slide_24,,
165,slide_219,,
166,slide_220,,
167,slide_241,,
168,slide_245,,
169,slide_246,,
170,slide_249,,
171,slide_255,,
172,slide_258,,
173,slide_262,,
174,slide_263,,
175,slide_264,,
176,slide_265,,
177,slide_266,,
178,slide_273,,
179,slide_30,,
180,slide_278,,
181,slide_279,,
182,slide_281,,
183,slide_282,,
184,slide_283,,
185,slide_31,,
186,slide_290,,
187,slide_291,,
188,slide_295,,
189,slide_32,,
190,slide_299,,
191,slide_302,,
192,slide_304,,
193,slide_306,,
194,slide_33,,
195,slide_309,,
196,slide_310,,
197,slide_311,,
198,slide_34,,
199,slide_321,,
200,slide_322,,
