,train,val,test
0,slide_109,slide_242,slide_175
1,slide_110,slide_243,slide_96
2,slide_112,slide_28,slide_144
3,slide_113,slide_29,slide_52
4,slide_114,slide_16,slide_268
5,slide_116,slide_244,slide_56
6,slide_117,slide_67,slide_71
7,slide_118,slide_8,slide_476
8,slide_14,slide_411,slide_340
9,slide_120,slide_130,slide_199
10,slide_121,slide_405,slide_324
11,slide_122,slide_448,slide_184
12,slide_123,slide_49,slide_423
13,slide_124,slide_329,slide_12
14,slide_127,slide_472,slide_25
15,slide_128,slide_473,slide_316
16,slide_132,slide_154,slide_27
17,slide_134,slide_352,slide_84
18,slide_135,slide_88,slide_385
19,slide_136,slide_89,slide_413
20,slide_139,slide_75,slide_368
21,slide_141,slide_137,slide_210
22,slide_142,slide_50,slide_211
23,slide_143,slide_54,slide_366
24,slide_145,slide_359,slide_133
25,slide_146,slide_119,slide_13
26,slide_17,slide_461,slide_442
27,slide_150,slide_247,slide_452
28,slide_152,slide_248,slide_294
29,slide_153,slide_336,slide_151
30,slide_155,slide_489,slide_35
31,slide_156,slide_490,slide_31
32,slide_157,slide_358,slide_345
33,slide_160,slide_496,slide_189
34,slide_161,slide_300,slide_36
35,slide_162,slide_48,slide_34
36,slide_165,slide_355,slide_80
37,slide_166,slide_83,slide_265
38,slide_167,slide_126,slide_15
39,slide_168,slide_429,slide_43
40,slide_171,slide_477,slide_357
41,slide_172,slide_322,slide_147
42,slide_20,slide_351,slide_264
43,slide_173,slide_97,slide_178
44,slide_174,slide_255,slide_325
45,slide_176,slide_245,slide_326
46,slide_177,slide_246,slide_487
47,slide_179,slide_195,slide_488
48,slide_180,slide_196,
49,slide_21,slide_241,
50,slide_183,slide_437,
51,slide_185,slide_291,
52,slide_186,slide_444,
53,slide_194,,
54,slide_197,,
55,slide_200,,
56,slide_202,,
57,slide_204,,
58,slide_205,,
59,slide_207,,
60,slide_208,,
61,slide_209,,
62,slide_212,,
63,slide_213,,
64,slide_214,,
65,slide_217,,
66,slide_3,,
67,slide_4,,
68,slide_218,,
69,slide_221,,
70,slide_222,,
71,slide_223,,
72,slide_224,,
73,slide_225,,
74,slide_226,,
75,slide_227,,
76,slide_228,,
77,slide_229,,
78,slide_230,,
79,slide_231,,
80,slide_232,,
81,slide_233,,
82,slide_234,,
83,slide_235,,
84,slide_236,,
85,slide_237,,
86,slide_26,,
87,slide_240,,
88,slide_250,,
89,slide_251,,
90,slide_252,,
91,slide_253,,
92,slide_254,,
93,slide_256,,
94,slide_257,,
95,slide_259,,
96,slide_260,,
97,slide_261,,
98,slide_267,,
99,slide_270,,
100,slide_271,,
101,slide_272,,
102,slide_274,,
103,slide_275,,
104,slide_276,,
105,slide_277,,
106,slide_280,,
107,slide_284,,
108,slide_285,,
109,slide_286,,
110,slide_287,,
111,slide_288,,
112,slide_289,,
113,slide_292,,
114,slide_293,,
115,slide_296,,
116,slide_297,,
117,slide_298,,
118,slide_301,,
119,slide_305,,
120,slide_307,,
121,slide_308,,
122,slide_312,,
123,slide_313,,
124,slide_314,,
125,slide_315,,
126,slide_317,,
127,slide_318,,
128,slide_0,,
129,slide_1,,
130,slide_2,,
131,slide_111,,
132,slide_115,,
133,slide_125,,
134,slide_129,,
135,slide_131,,
136,slide_138,,
137,slide_140,,
138,slide_148,,
139,slide_149,,
140,slide_158,,
141,slide_159,,
142,slide_18,,
143,slide_19,,
144,slide_163,,
145,slide_164,,
146,slide_169,,
147,slide_170,,
148,slide_181,,
149,slide_182,,
150,slide_187,,
151,slide_188,,
152,slide_190,,
153,slide_191,,
154,slide_192,,
155,slide_193,,
156,slide_22,,
157,slide_198,,
158,slide_201,,
159,slide_203,,
160,slide_23,,
161,slide_206,,
162,slide_215,,
163,slide_216,,
164,slide_24,,
165,slide_219,,
166,slide_220,,
167,slide_238,,
168,slide_239,,
169,slide_249,,
170,slide_258,,
171,slide_262,,
172,slide_263,,
173,slide_266,,
174,slide_269,,
175,slide_273,,
176,slide_30,,
177,slide_278,,
178,slide_279,,
179,slide_281,,
180,slide_282,,
181,slide_283,,
182,slide_290,,
183,slide_295,,
184,slide_32,,
185,slide_299,,
186,slide_302,,
187,slide_303,,
188,slide_304,,
189,slide_306,,
190,slide_33,,
191,slide_309,,
192,slide_310,,
193,slide_311,,
194,slide_321,,
195,slide_338,,
196,slide_339,,
197,slide_342,,
198,slide_343,,
